Method,Description,similarity_score,EvlScore
higher,"返回此集合中的最小元素严格大于给定元素，如果没有这样的元素，则 
               null 。",0.7399341,1.0
user,返回进程的用户。,0.6213255,1.0
toString,返回总结此缓冲区状态的字符串。,0.7876532,1.0
getReferrals,检索服务器发送的引用。,0.85315657,1.0
columnMoved,告诉听众列重新定位。,0.71740174,1.0
getValue,返回当前的校验和值。,0.8279276,1.0
setNamedItemNS,"使用其 
               namespaceURI和 
               localName添加节点。",0.87422264,1.0
tryLock,"如果锁在给定的等待时间内是空闲的并且当前线程不是 
               interrupted ，则获取锁。",0.7392028,1.0
getOffset,获取区域偏移量，例如“+01：00”。,0.86293197,1.0
permits,确定是否为指定的加密基元授予算法和相应密钥的权限。,0.33079284,1.0
writeBytes,将下一个属性作为字节数组写入流中。,0.796003,1.0
getAttributes,获取此打印服务的一组打印机描述属性，以提供此打印服务的状态。,0.80392116,1.0
getBounds2D,返回在与渲染无关的空间中对给定源集执行的操作输出的边界框。,0.8461445,0.8
readBinaryStream,读取流中的下一个属性并将其作为未解释的字节流返回。,0.8125239,1.0
getXmlEncoding,"作为 
               XML declaration的一部分指定此文档的编码的属性。",0.7958996,1.0
getInitiatedClasses,"返回 
               loader作为启动加载器的所有类的数组。",0.8217736,1.0
printMessage,在带注释元素的注释镜像的位置打印指定类型的消息。,0.749026,1.0
resolveEntity,允许应用程序解析外部实体。,0.88976896,1.0
setBinaryStream,检索可用于编写此SQLXML实例表示的XML值的流。,0.84142387,1.0
setProcessors,设置处理器（用于注释处理）。,0.87523097,1.0
getAccessibleRowCount,返回表中的行数。,0.7628695,0.8
getFeature,查找功能标志的值。,0.8545486,1.0
createPrintJob,"创建并返回能够处理来自任何支持的文档风格的数据的 
               PrintJob 。",0.9022064,1.0
toString,获取该字段的描述性名称。,0.8320701,1.0
getCellEditorValue,返回编辑器中包含的值。,0.7883125,1.0
setByteStream,表示字节流的语言和绑定依赖类型的属性。,0.7878357,1.0
add,向正在构建的流添加元素。,0.3195246,1.0
setBlob,"将指定参数设置为 
               InputStream对象。",0.80017406,1.0
setBitOffset,将位偏移设置为0到7之间的整数，包括0和7。,0.87280166,1.0
getAnnotationsByType,"返回与此元素 
               关联的注释。",0.7106736,1.0
from,"从时态对象获得 
               ChronoLocalDateTime的实例。",0.6538867,1.0
getNamespaceCount,返回在此START_ELEMENT或END_ELEMENT上声明的名称空间的计数，此方法仅在START_ELEMENT，END_ELEMENT或NAMESPACE上有效。,0.8258849,1.0
plusWeeks,"返回此 
               ZonedDateTime的副本，并添加指定的周数。",0.7872463,1.0
setTextContents,将文本内容设置为指定的字符串。,0.82287097,1.0
getQueryTimeout,检索驱动程序等待语句执行的最大秒数。,0.77400017,1.0
write,从给定缓冲区向该通道写入一个字节序列。,0.7370292,1.0
minus,返回与此对象相同类型的对象，并减去一定量。,0.613325,1.0
replaceWholeText,用指定的文本替换当前节点的文本和所有逻辑上相邻的文本节点。,0.7431137,1.0
getPacketBufferSize,获取使用此会话时预期的最大SSL / TLS / DTLS数据包的当前大小。,0.7951514,1.0
remove,如果存在此键，则从此映射中移除此键的映射（可选操作）。,0.55939305,1.0
columnNullableUnknown,表示列的可为空性未知。,0.71802264,0.8
getMinTileX,返回X方向上的最小tile索引。,0.8524351,1.0
getSelectedAccessibleRows,返回表中的选定行。,0.48661625,0.8
order,检索此缓冲区的字节顺序。,0.33762133,1.0
icSigCmykData,ICC配置文件颜色空间类型签名：'CMYK'。,0.7507422,1.0
setSystem,更新系统属性的值。,0.8264201,1.0
group,返回文件的组所有者。,0.45629495,1.0
setResult,"将与此 
               Result关联的 
               TransformerHandler设置为用于转换。",0.8171694,1.0
getValue,已过时。,0.8074857,1.0
getTileGridXOffset,"返回tile网格相对于原点的X偏移，即tile（0,0）的左上角像素的X坐标。",0.82466155,1.0
selectColor,所选单选按钮的颜色。,0.6811607,1.0
duplicate,创建一个共享此缓冲区内容的新长缓冲区。,0.8761778,1.0
removeAccessibleSelection,从对象的选择中移除对象的指定子对象。,0.65739757,0.8
eventDispatched,在AWT中调度事件时调用。,0.7551719,1.0
readBlob,"从流中读取SQL 
               BLOB值并将其作为Java编程语言中的 
               Blob对象返回。",0.82596964,1.0
getResources,提取声音库中包含的非乐器资源列表。,0.8274803,1.0
hashCode,这个月的哈希码。,0.8440513,1.0
valueBound,调用它来通知侦听器它被绑定到SSLSession。,0.8427448,1.0
writeEmptyElement,将空元素标记写入输出,0.81708145,1.0
getElementsByTagName,"返回 
               NodeList所有的 
               Elements文档顺序与给定的标签名称，包含在文档中。",0.85009944,1.0
call,执行此编译任务。,0.46071061,1.0
getBounds,"返回一个 
               Type对象的数组，表示此类型变量的上限。",0.77871376,1.0
dispose,释放为上下文分配的资源。,0.7118075,1.0
getInputMethodDisplayName,以将显示名称的语言返回给定输入语言环境的相应输入方法的用户可见名称。,0.7808134,0.8
rewind,倒回这个缓冲区。,0.7128039,1.0
setStrictErrorChecking,指定是否强制执行错误检查的属性。,0.76978207,0.8
apply,将此函数应用于给定的参数。,0.38422868,1.0
getDateTimeAfter,获取本地转换日期时间，用“after”偏移量表示。,0.8413633,1.0
isDurationEstimated,检查单位的持续时间是否为估计值。,0.7624181,1.0
getFileSystem,返回创建此对象的文件系统。,0.88855356,1.0
retransformClasses,重新转换提供的类集。,0.8371999,1.0
isDirect,判断此浮点缓冲区是否为直接缓冲区。,0.83359814,1.0
getFlavorsForNatives,"返回 
               Map指定的 
               String native到其相应 
               DataFlavor 。",0.74044687,1.0
writeShort,"将 
               v的16个低位写入流。",0.81614184,1.0
characters,已过时。,0.20852536,1.0
subMap,"返回此映射部分的视图，其键的范围为 
               fromKey到 
               toKey 。",0.7527927,1.0
setString,"将指定参数设置为给定的Java 
               String值。",0.81185603,1.0
mismatch,查找并返回此缓冲区与给定缓冲区之间第一个不匹配的相对索引。,0.71365225,1.0
setLoginTimeout,设置此数据源在尝试连接到数据库时将等待的最长时间（以秒为单位）。,0.79157364,1.0
setCharacterStream,"将指定参数设置为给定的 
               Reader对象，该对象是给定的字符长度。",0.80299795,1.0
name,返回此工具的名称，如果未提供名称，则返回空字符串。,0.39616966,1.0
warningOccurred,报告解码中出现非致命错误。,0.83437824,1.0
getInstruments,获得此声音库中包含的乐器列表。,0.7882961,1.0
icSigDeviceModelDescTag,ICC配置文件标记签名：'dmdd'。,0.77419305,0.8
of,"从一年和一月获得 
               YearMonth的实例。",0.36788166,1.0
awaitTermination,阻止所有任务在关闭请求之后完成执行，或发生超时，或者当前线程被中断，以先发生者为准。,0.8468522,1.0
sorterChanged,RowSorter发生变化的通知。,0.87980783,1.0
getData,处理指令的数据部分,0.7446767,1.0
position,"检索此 
               Blob对象指定的 
               BLOB值中的字节位置， 
               pattern开始于该对象。",0.31440818,1.0
lastModifiedTime,返回上次修改的时间。,0.79010475,1.0
and,返回一个组合谓词，表示此谓词和另一个谓词的短路逻辑AND。,0.24658664,1.0
tryAdvance,"如果存在剩余元素，则对其执行给定操作，返回true ;
否则返回false 。",0.54884297,1.0
filter,执行从源Raster到目标Raster的单输入/单输出操作。,0.4221747,1.0
cancel,取消观看服务的注册。,0.865003,1.0
takeLast,检索并删除此双端队列的最后一个元素，必要时等待元素可用。,0.79424596,1.0
get,"相对批量 
               获取方法。",0.62380946,1.0
applyAsLong,将此运算符应用于给定的操作数。,0.76784503,1.0
putChar,"用于写入char值的绝对 
               put方法 
               （可选操作） 。",0.78020024,1.0
getTableCellEditorComponent,"为编辑器设置初始值 
               value 。",0.8159759,0.8
readDouble,"从流中读取8个字节，并（概念上）根据当前字节顺序连接它们，并将结果返回为 
               double 。",0.816414,1.0
evaluateExpression,在指定的上下文中评估已编译的XPath表达式。,0.8918815,1.0
getOption,返回套接字选项的值。,0.8411838,1.0
procedureColumnOut,表示该列存储OUT参数。,0.8449475,1.0
getEncoding,用于输出的字符编码。,0.8383051,1.0
getActionCommand,返回按钮的操作命令字符串。,0.80183685,1.0
processKeyEvent,处理重要事件。,0.65934736,1.0
getZone,获取区域ID，例如“Europe / Paris”。,0.8462404,1.0
deleteData,从节点中删除一系列16位单元。,0.71790564,1.0
getProgram,获取此频道的当前节目编号。,0.8030764,1.0
startInstant,返回进程的开始时间。,0.8367534,1.0
getConstantValue,"如果这是一个初始化为编译 
               final量的 
               final字段，则返回此变量的值。",0.8371136,1.0
readShort,"从流中读取两个字节，并（概念上）根据当前字节顺序连接它们，并将结果作为 
               short值返回。",0.83732855,1.0
versionColumnUnknown,表示此版本列可能是也可能不是伪列。,0.84527165,1.0
isPressed,指示是否按下按钮。,0.7975306,1.0
endElement,已过时。,0.6875509,1.0
getOptions,返回传递给注释处理工具的特定于处理器的选项。,0.7922096,1.0
withLaterOffsetAtOverlap,返回此日期时间的副本，将区域偏移更改为本地时间线重叠处的两个有效偏移中的较晚者。,0.84317386,0.8
isAssignable,测试一种类型是否可以分配给另一种类型。,0.88881755,1.0
close,关闭此资源，放弃任何底层资源。,0.36529475,1.0
getDuration,获取此单位的持续时间，可能是估计值。,0.78926504,1.0
get,"相对 
               get方法。",0.7409617,1.0
getData,实现此接口的节点的字符数据。,0.799026,1.0
boxedClass,返回给定基元类型的盒装值的类。,0.76500404,1.0
isSupported,检查是否支持指定的字段。,0.31597376,1.0
isSelected,指示是否已选择按钮。,0.74493057,1.0
getParentLoggerName,已过时。,0.66220164,1.0
getMinX,返回RenderedImage的最小X坐标（包括）。,0.7783101,1.0
icSigSpaceFCLR,ICC配置文件颜色空间类型签名：'FCLR'。,0.6901315,1.0
compareTo,比较此缓冲区与另一个缓冲区。,0.76621246,1.0
add,向正在构建的流添加元素。,0.3195246,1.0
offerFirst,将指定元素插入此双端队列的前面，除非它违反容量限制。,0.8601081,1.0
setLogicalStyle,设置用于给定位置的段落的逻辑样式。,0.8762453,1.0
readUTF,"读入使用 
               modified UTF-8格式编码的字符串。",0.800725,1.0
skipBytes,将流位置向前移动给定的字节数。,0.8250191,1.0
setTime,"将此 
               RowSet对象命令中的指定参数设置为给定的 
               java.sql.Time值。",0.7664685,1.0
loadInstruments,"从指定的 
               Soundbank加载指定补丁引用的仪器。",0.7080388,1.0
getArrayType,返回具有指定组件类型的数组类型。,0.8722267,1.0
removeEventListener,此方法允许从事件目标中删除事件侦听器。,0.7696073,1.0
set,用指定的元素替换此列表中指定位置的元素（可选操作）。,0.56952274,1.0
writeEmptyElement,将空元素标记写入输出,0.81708145,1.0
put,"相对批量 
               放置方法 
               （可选操作） 。",0.85629696,1.0
clean,取消注册可清洁并调用清洁操作。,0.36198664,1.0
setDate,"使用运行应用程序的虚拟机的默认时区将指定参数设置为给定的 
               java.sql.Date值。",0.7961422,1.0
remove,"从接收者处移除 
               index的孩子。",0.5374301,1.0
getDeclaredType,返回与type元素和实际类型参数对应的类型。,0.84369683,1.0
resetAllControllers,将所有已实现的控制器重置为其默认值。,0.8556262,1.0
openOutputStream,返回此文件对象的OutputStream。,0.8534036,1.0
setURL,"将指定参数设置为给定的 
               java.net.URL值。",0.81056,1.0
getAltKey,用于指示在事件触发期间是否按下'alt'键。,0.86048794,1.0
setRef,"使用给定的 
               Ref值设置此 
               RowSet对象命令中的指定参数。",0.7656561,1.0
getLastModified,返回上次修改此文件对象的时间。,0.81824017,1.0
getObjectSize,返回指定对象占用的存储量的特定于实现的近似值。,0.81910676,1.0
importedKeySetDefault,"对于列 
               UPDATE_RULE和 
               DELETE_RULE ，指示如果更新或删除主键，则将外键（导入的键）设置为默认值。",0.85960925,0.8
setEnabled,启用或禁用按钮。,0.76767725,1.0
stopCellEditing,告诉编辑停止编辑并接受任何部分编辑的值作为编辑器的值。,0.864164,1.0
uis,包含真实UI的向量。,0.8188852,1.0
setGroup,标识按钮所属的组 - 单选按钮所需的组，它们在组内是互斥的。,0.83510715,1.0
hideWindows,关闭或隐藏此输入法实例或其类打开的所有窗口。,0.82083845,1.0
setEntityResolver,已过时。,0.83984673,1.0
getAccessibleIndex,返回表中行和列的索引。,0.8769338,1.0
getName,返回此位置的名称。,0.81454384,1.0
setBlob,"使用给定的 
               Blob值设置此 
               RowSet对象命令中的指定参数。",0.78547436,1.0
add,确保此集合包含指定的元素（可选操作）。,0.30297276,1.0
getRoot,"返回此路径的根组分作为 
               Path对象，或 
               null如果该路径不具有根组件。",0.7538043,1.0
visitEnumConstant,"在注释中访问 
               枚举值。",0.86480683,1.0
init,使用处理环境初始化处理器。,0.6134002,1.0
setAsciiStream,将指定参数设置为给定输入流。,0.8445578,1.0
cancel,停止进一步处理打印作业。,0.86478347,1.0
tryAdvance,"如果存在剩余元素，则对其执行给定操作，返回true ;
否则返回false 。",0.54884297,1.0
readShort,"读取流中的下一个属性，并以Java编程语言将其作为 
               short返回。",0.8534408,1.0
isActive,已过时。,0.83792377,1.0
get,"绝对 
               获取方法。",0.63882065,1.0
pollFirst,"检索并删除此双端队列的第一个元素，如果此双端队列为空，则返回 
               null 。",0.789459,1.0
lastChild,"将 
               TreeWalker移动到当前节点的最后一个可见子节点，并返回新节点。",0.74690926,1.0
getChronology,获取定义支持单位含义的年表。,0.82900023,1.0
apply,将此函数应用于给定的参数。,0.38422868,1.0
getRef,以Java编程语言中Ref对象的形式检索指定的JDBC REF(<structured-type>)参数的值。,0.81983554,1.0
getNativesForFlavor,"返回 
               List的 
               String当地人到指定 
               DataFlavor对应。",0.6993287,1.0
programChange,更改程序（补丁）。,0.853379,1.0
getMonthValue,获取1到12之间的月份字段。,0.84153056,1.0
getNamespaceURI,返回给定前缀的uri。,0.81007236,1.0
parameterModeOut,常量表示参数的模式为OUT。,0.8473587,1.0
addAttribute,将属性添加到给定集，并返回新的代表集。,0.7352946,1.0
of,返回包含七个元素的不可修改集。,0.38147187,1.0
setGroup,更新文件组所有者。,0.8226997,1.0
isForwardCheckingSupported,指示是否支持前向检查。,0.7603369,0.8
wasNull,"检索读取的最后一个OUT参数是否具有SQL 
               NULL的值。",0.7554636,1.0
isDaylightSavings,检查指定的瞬间是否在夏令时中。,0.78317356,1.0
readInt,"从流中读取4个字节，并（概念上）根据当前字节顺序连接它们，并将结果返回为 
               int 。",0.7766535,1.0
hasNext,如果有更多解析事件，则返回true;如果没有更多事件，则返回false。,0.83152235,1.0
setReadOnly,更新只读属性的值。,0.8282889,1.0
setFilter,当应用程序提供过滤器时，序列化程序将在序列化每个节点之前调用过滤器。,0.84443605,1.0
lengthOfMonth,考虑到年份，返回月份的长度。,0.84152174,1.0
getLayeredPane,返回layeredPane。,0.8264267,1.0
getLanguageVersion,"返回此 
               ScriptEngine支持的脚本语言的版本。",0.7873817,1.0
setCharacterStream,"将指定参数设置为给定的 
               Reader对象。",0.8398175,1.0
join,加入多播组以开始接收发送给该组的所有数据报，并返回成员资格密钥。,0.37620145,1.0
isAnnotationPresent,"如果此元素上 
               存在指定类型的注释，则返回true，否则返回false。",0.8023348,1.0
setFloat,"将此 
               RowSet对象命令中的指定参数设置为给定的Java 
               float值。",0.8880595,1.0
getMimeTypes,返回mimetypes的不可变列表，与可由引擎执行的脚本相关联。,0.86021334,1.0
getAction,获取适合给定符号事件序列的操作。,0.841482,1.0
hashCode,此年表的哈希码。,0.8169802,1.0
getAsBoolean,获取结果。,0.8700286,1.0
scheduleWithFixedDelay,提交在给定的初始延迟之后首先启用的定期动作，并且随后在一次执行的终止和下一次执行的开始之间给定延迟。,0.7564239,0.8
read,读取资源，返回包含资源内容的字节缓冲区。,0.42828348,1.0
getTextCharacters,返回一个包含此事件中字符的数组。,0.86961406,1.0
getDelay,以给定的时间单位返回与此对象关联的剩余延迟。,0.8513092,1.0
getLength,"可通过 
               data和 
               substringData方法获得的16位单元数。",0.8370717,1.0
functionColumnIn,表示参数或列是IN参数。,0.7550355,1.0
getText,以字符串形式返回parse事件的当前值，返回CHARACTERS事件的字符串值，返回COMMENT的值，ENTITY_REFERENCE的替换值，CDATA节的字符串值，SPACE的字符串值event，或DTD内部子集的String值。,0.7946409,1.0
tryAdvance,"如果存在剩余元素，则对其执行给定操作，返回true ;
否则返回false 。",0.54884297,1.0
setNull,"将指定参数设置为SQL 
               NULL 。",0.84001464,1.0
getPrefix,获取当前作用域中名称空间URI的前缀绑定。,0.8516158,1.0
serialVersionUID,设置为指示自J2SE 1.4以来的序列化兼容性的类指纹。,0.8342467,1.0
setNCharacterStream,"将指定参数设置为 
               Reader对象。",0.8244833,1.0
icSigPreview2Tag,ICC配置文件标记签名：'pre2'。,0.81860846,0.8
thenComposeAsync,返回一个新的CompletionStage，它使用与给定函数返回的CompletionStage相同的值完成，使用此阶段的默认异步执行工具执行。,0.7492859,1.0
getAttributeByName,返回此名称引用的属性,0.7838645,1.0
setBytes,将指定参数设置为给定的Java字节数组。,0.8432189,1.0
procedureColumnUnknown,表示列的类型未知。,0.76428556,0.8
isValidOffset,检查偏移日期时间是否对这些规则有效。,0.9119554,1.0
startsWith,测试此路径是否以给定路径开头。,0.8741291,1.0
procedureReturnsResult,表示该过程返回结果。,0.681391,0.8
setNClob,"将指定参数设置为 
               Reader对象。",0.78527415,1.0
setBigDecimal,"将指定参数设置为给定的 
               java.math.BigDecimal值。",0.8560114,1.0
size,检索属性集中的属性数。,0.60083807,1.0
order,检索此缓冲区的字节顺序。,0.33762133,1.0
getEntities,"包含在DTD中声明的外部和内部通用实体的 
               NamedNodeMap 。",0.85318154,1.0
importedKeyInitiallyImmediate,表示可推迟性。,0.8658097,0.8
getSize,返回列表的长度。,0.7795054,1.0
getBundle,"返回给定包名称和语言环境的 
               ResourceBundle 。",0.87187016,1.0
isEndElement,如果光标指向结束标记，则返回true（否则为false）,0.8156634,1.0
retainAll,仅保留此集合中包含在指定集合中的元素（可选操作）。,0.84211326,1.0
setNClob,"将指定参数设置为 
               Reader对象。",0.78527415,1.0
makeParser,已过时。,0.8479323,1.0
getDayOfMonth,获取日期字段。,0.79882705,1.0
maximumLayoutSize,在给定组件包含的组件的情况下，计算指定容器的最大大小尺寸。,0.8053994,1.0
visitDeclared,访问声明的类型。,0.8625778,1.0
getNextElementSibling,返回对元素的兄弟节点的引用，该节点最紧跟在文档顺序中的元素之后，并且是Element类型的元素 。,0.80539554,0.8
icSigChromaticityTag,ICC配置文件标记签名：'chrm'。,0.8039084,1.0
getDocumentTypeDeclaration,将整个文档类型声明作为字符串返回，包括内部DTD子集。,0.7649115,0.8
getNamespaceURI,如果当前事件是START_ELEMENT或END_ELEMENT，则此方法返回前缀的URI或默认命名空间。,0.836903,1.0
setLong,"将指定参数设置为给定的Java 
               long值。",0.7905369,1.0
getByteOrder,"返回将从此流中读取数据值的字节顺序，作为 
               java.nio.ByteOrder枚举的实例。",0.8892703,1.0
popupMenuCanceled,取消弹出菜单时会调用此方法,0.85510576,1.0
isAfter,检查此日期时间的瞬间是否在指定日期时间之后。,0.8331096,1.0
implies,如果此主体隐含指定的主题，则返回true。,0.7952254,1.0
equals,如果指定的对象表示逻辑上等于此注释的注释，则返回true。,0.7889191,1.0
getElement,返回表示的元素。,0.73321104,1.0
internalFrameDeiconified,内部框架去图标化时调用。,0.8250613,0.8
nextLong,"返回迭代中的下一个 
               long元素。",0.7451061,1.0
forEachRemaining,在当前线程中按顺序对每个剩余元素执行给定操作，直到所有元素都已处理或操作引发异常。,0.88557005,1.0
removeAttributes,删除元素的一组属性。,0.77372754,1.0
intervalAdded,在index0中的索引之后发送，index1间隔已插入数据模型中。,0.84413445,1.0
write,将一个字节序列写入当前位置的流。,0.77562654,1.0
getMediaWhitePoint,返回长度为3的float数组，其中包含ICC配置文件中mediaWhitePointTag的X，Y和Z组件。,0.8451706,1.0
isAccessibleColumnSelected,返回一个布尔值，指示是否选择了指定的列。,0.65283346,0.8
shouldSelectCell,如果应选择编辑单元格，则返回true，否则返回false。,0.8755249,1.0
icHdrCreator,ICC配置文件标题位置：配置文件创建者。,0.87518185,1.0
nextIndex,"返回后续调用 
               next()将返回的元素的索引。",0.8172942,1.0
getMetaKey,用于指示在触发事件期间是否按下'meta'键。,0.8515129,1.0
addTileObserver,添加一个观察者。,0.8492012,1.0
addTo,将此句点添加到指定的时态对象。,0.76957947,1.0
applyAsInt,将此函数应用于给定的参数。,0.693058,1.0
visitUnion,访问联合类型。,0.83599204,1.0
getFloat,"用于读取浮点值的绝对 
               get方法。",0.8924044,1.0
visitShort,"访问注释中的 
               short值。",0.768784,1.0
icHdrIlluminant,ICC配置文件标题位置：配置文件光源。,0.8961358,1.0
lastIndexOf,返回此列表中指定元素最后一次出现的索引，如果此列表不包含该元素，则返回-1。,0.8516334,1.0
listBox,JList的实例。,0.80494225,1.0
getStartOffset,获取突出显示的起始模型偏移量。,0.8483499,1.0
hasRemaining,告知当前位置和限制之间是否存在任何元素。,0.8415855,1.0
removePrintServiceAttributeListener,从此打印服务中删除打印服务侦听器。,0.801121,0.8
setNull,"将此 
               RowSet对象的SQL命令中的指定参数设置为SQL 
               NULL 。",0.83323646,1.0
slice,创建一个新的字节缓冲区，其内容是此缓冲区内容的共享子序列。,0.7650278,1.0
icAbsoluteColorimetric,ICC配置文件渲染意图：AbsoluteColorimetric。,0.8402858,0.8
getAccessibleContext,"返回与此对象关联的 
               AccessibleContext 。",0.8586179,1.0
paint,呈现插入符号。,0.35160956,1.0
importedKeyNotDeferrable,表示可推迟性。,0.8537595,0.8
getSuperclass,返回此类型元素的直接超类。,0.82437086,1.0
adjustInto,调整指定的时态对象。,0.8339747,1.0
getRenderingHints,返回此RasterOp的呈现提示。,0.7692792,1.0
getTransactionIsolation,"检索为此 
               RowSet对象设置的事务隔离级别。",0.7399204,0.8
functionNullableUnknown,"指示是否允许 
               NULL值是未知的。",0.68923724,0.8
getCharacterStream,"以Java编程语言中 
               java.io.Reader对象的形式检索指定参数的值。",0.89367664,1.0
execute,"用数据填充此 
               RowSet对象。",0.7411087,1.0
setCertifiedText,"如果设置为true，则在解析[ 
               XML 1.1 ]时假设输入已经过认证（参见[ 
               XML 1.1 ]中的第2.13节）。",0.81588924,1.0
shardingKey,"指定创建连接时使用的 
               shardingKey",0.8814911,1.0
setByteOrder,为将来从此流中读取数据值设置所需的字节顺序。,0.8525197,1.0
ancestorAdded,当通过调用setVisible（true）或将其添加到组件层次结构中使源或其祖先之一可见时调用。,0.9020847,1.0
type,返回提供程序类型。,0.5019809,1.0
setBlob,"将指定参数设置为给定的 
               java.sql.Blob对象。",0.7939528,1.0
writeToString,"如上所述在 
               LSSerializer接口的一般描述中序列化指定的节点。",0.8468444,1.0
getInputMethodIcon,返回相应输入方法的图标。,0.8357107,1.0
headMap,"返回此映射的部分视图，其键严格小于 
               toKey 。",0.73613477,1.0
andThen,"返回一个组合的 
               Consumer ，它按顺序执行此操作，然后执行 
               after操作。",0.74326235,1.0
getNonCriticalExtensionOIDs,获取由实现此接口的对象管理的证书/ CRL中标记为NON-CRITICAL的扩展的OID字符串集。,0.7582433,0.8
of,"从本地日期和时间获得 
               ZonedDateTime的实例。",0.36028665,1.0
close,关闭输入流。,0.41110605,1.0
asMemberOf,当该元素被视为给定类型的成员或以其他方式直接包含时，返回该元素的类型。,0.8753664,1.0
isSoundbankSupported,通知呼叫者该合成器是否能够从指定的音库加载乐器。,0.7853074,1.0
icSigGreenMatrixColumnTag,ICC配置文件标记签名：'gXYZ'。,0.78196764,0.8
removePropertyChangeListener,删除PropertyChange事件的侦听器。,0.8515587,0.8
order,修改此缓冲区的字节顺序。,0.31746733,1.0
hasMoreElements,测试此枚举是否包含更多元素。,0.85441047,1.0
applyToEither,返回一个新的CompletionStage，当这个或另一个给定的阶段正常完成时，将执行相应的结果作为所提供函数的参数。,0.9010552,1.0
visitExecutable,访问可执行类型。,0.88724613,1.0
handleAbout,当要求应用程序显示其关于对话框时调用。,0.8738212,1.0
isDeclared,除非在DTD中声明了属性，否则返回false。,0.8571057,1.0
applyAsInt,将此函数应用于给定的参数。,0.693058,1.0
duplicate,创建一个共享此缓冲区内容的新字节缓冲区。,0.8749309,1.0
icHdrDate,ICC配置文件标题位置：创建日期配置文件。,0.8414485,1.0
getByteStream,表示可写字节流的语言和绑定依赖类型的属性。,0.84462005,1.0
readLong,"从流中读取8个字节，并（概念上）根据当前字节顺序连接它们，并将结果作为 
               long返回。",0.8206037,1.0
length,字符内容序列的当前长度。,0.7191311,1.0
getSelectionModel,返回当前选择模型。,0.8124271,1.0
getId,获取年表的ID。,0.75010383,1.0
functionColumnResult,指示参数或列是结果集中的列。,0.7245271,1.0
getIconWidth,返回图标的宽度。,0.8262141,1.0
getTimestamp,"以 
               java.sql.Timestamp对象的形式检索JDBC 
               TIMESTAMP参数的值。",0.90122247,1.0
visitTypeVariable,访问类型变量。,0.83473945,1.0
hashCode,返回此缓冲区的当前哈希码。,0.8447393,1.0
windowClosing,当用户尝试从窗口的系统菜单关闭窗口时调用。,0.72000194,1.0
getRootElements,返回前一轮生成的注释处理的root elements 。,0.8224549,1.0
minusYears,"返回此 
               YearMonth的副本，并减去指定的年数。",0.7387552,1.0
setClob,"将指定参数设置为给定的 
               java.sql.Clob对象。",0.75387836,1.0
getFileAttributeView,返回一个新的文件属性视图，以访问此目录中文件的文件属性。,0.85650253,1.0
setBoolean,"将此 
               RowSet对象命令中的指定参数设置为给定的Java 
               boolean值。",0.8773383,1.0
menuDeselected,取消选择菜单时调用。,0.8280933,1.0
intervalRemoved,在index0中的索引之后发送，index1间隔已从数据模型中删除。,0.8698109,1.0
objectChanged,更改对象时调用。,0.78773844,1.0
setBlob,"将指定参数设置为 
               InputStream对象。",0.80017406,1.0
getChronology,获取此日期的年表。,0.81199175,1.0
getOriginalRow,"检索 
               ResultSet包含当前行原始值的 
               ResultSet对象。",0.88797504,1.0
windowIconified,当窗口从正常状态更改为最小化状态时调用。,0.80682504,1.0
uis,包含真实UI的向量。,0.8188852,1.0
writeNString,"将下一个属性作为Java编程语言中的 
               String写入流中。",0.8147079,1.0
setBoolean,"将指定参数设置为给定的Java 
               boolean值。",0.86170286,1.0
createXAConnectionBuilder,"创建一个新的 
               XAConnectionBuilder实例",0.8822093,0.8
removeAttribute,按名称删除属性。,0.7757729,1.0
contains,"测试一个类型参数是否 
               包含另一个。",0.47546595,1.0
uis,包含真实UI的向量。,0.8188852,1.0
compose,组合两个源Raster对象并将结果放在目标WritableRaster中 。,0.31127238,1.0
getReference,检索此对象的引用。,0.8586183,1.0
icSigAToB0Tag,ICC配置文件标记签名：'A2B0'。,0.7903379,0.8
submit,提交值返回任务以执行并返回表示任务的挂起结果的Future。,0.6448914,1.0
next,获取下一个解析事件 - 处理器可以在单个块中返回所有连续的字符数据，或者可以将其拆分为多个块。,0.31519526,1.0
getWritableTile,检查一块瓷砖进行书写。,0.83713764,1.0
addAll,将指定集合中的所有元素插入到指定位置的此列表中（可选操作）。,0.7422801,1.0
serialVersionUID,设置的类型指纹，表示与该类型的先前版本的序列化兼容性。,0.8335049,1.0
allocate,分配一个新的长缓冲区。,0.86105096,1.0
compile,"编译脚本（源代表为 
               String ）以供稍后执行。",0.86084163,1.0
treeWillCollapse,每当树中的节点即将折叠时调用。,0.82774466,1.0
refresh,"更新或延长此 
               Object的有效期。",0.5446466,1.0
statementClosed,"当驱动程序检测到 
               PreparedStatement已关闭时，会在连接上注册的所有 
               StatementEventListener上调用此方法。",0.72549045,1.0
getLocationOnScreen,返回屏幕上对象的位置。,0.73225033,1.0
getTransitionRules,获取超出转换列表中定义的转换规则的年份列表。,0.79624224,1.0
icSigOutputClass,ICC简介类签名：'prtr'。,0.8460688,1.0
accept,对给定的参数执行此操作。,0.1988309,1.0
setColumnLabel,"设置用于打印输出的建议列标题，并显示给定的 
               String （如果有）。",0.81583023,1.0
createInputMethodWindow,创建一个顶级窗口供输入法使用。,0.86835635,0.8
negated,返回一个新实例，此期间的每个金额都被否定。,0.87768114,1.0
